epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,1301.24,0.69602,0.84995,0.92017,0.45923,0.44444,0.52033,0.26955,2.04995,3.24488,2.00547,0.0001486,0.0001486,0.0001486
88,1315.36,0.6224,0.92331,0.91928,0.46854,0.44444,0.52125,0.26618,2.06213,3.16305,1.95276,0.0001387,0.0001387,0.0001387
89,1329.44,0.73147,0.81162,0.92336,0.48549,0.44444,0.53958,0.26801,2.11451,3.07937,1.97229,0.0001288,0.0001288,0.0001288
90,1343.53,0.74908,0.88221,0.94622,0.50537,0.44444,0.52858,0.26322,2.10488,3.0941,1.97734,0.0001189,0.0001189,0.0001189
91,1357.53,0.76027,1.02163,0.99452,0.49876,0.44444,0.52858,0.26531,2.0612,3.14409,1.96348,0.000109,0.000109,0.000109
92,1371.31,0.76557,1.01554,0.95407,0.472,0.44444,0.48134,0.30015,2.04995,3.32502,1.98484,9.91e-05,9.91e-05,9.91e-05
93,1385.2,0.72214,1.00349,0.94448,0.4784,0.44444,0.48733,0.30145,2.02887,3.35439,1.96397,8.92e-05,8.92e-05,8.92e-05
94,1399.06,0.6837,0.9193,0.94285,0.48286,0.44444,0.48,0.29954,2.01752,3.32512,1.97078,7.93e-05,7.93e-05,7.93e-05
95,1412.7,0.74415,1.03272,0.93759,0.497,0.44444,0.48,0.30024,2.0051,3.29556,1.94686,6.94e-05,6.94e-05,6.94e-05
96,1426.65,0.66902,0.90523,0.90761,0.53231,0.44444,0.51483,0.30615,1.98357,3.24784,1.90181,5.95e-05,5.95e-05,5.95e-05
97,1440.37,0.79607,0.94813,1.01495,0.5418,0.44444,0.535,0.31183,2.01231,3.19893,1.91638,4.96e-05,4.96e-05,4.96e-05
98,1454.23,0.66655,0.93211,0.90462,0.53116,0.44444,0.535,0.31183,2.06118,3.21997,1.95712,3.97e-05,3.97e-05,3.97e-05
99,1467.98,0.672,0.89291,0.91434,0.51296,0.5015,0.57167,0.28967,2.0719,3.21327,1.97124,2.98e-05,2.98e-05,2.98e-05
100,1481.66,0.6696,0.89156,0.94139,0.5289,0.49169,0.57167,0.32283,2.06778,3.19073,1.98203,1.99e-05,1.99e-05,1.99e-05
